# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
gu wen 	顾问	c=29 d=1.03734 t=27683
gu xing 	鼓形	c=1 d=1 t=4739
gu zhang 	故障	c=2 d=1 t=24138
gua 	刮	c=1 d=1 t=15713
gua 	挂	c=2 d=1 t=20390
gua pai 	挂牌	c=1 d=1 t=17694
guai wu 	怪物	c=1 d=1 t=22074
guan 	关	c=3 d=1 t=17280
guan 	官	c=1 d=1 t=11235
guan 	管	c=39 d=1.01791 t=26670
guan 	罐	c=5 d=4.47348 t=675
guan 	馆	c=3 d=1 t=27102
guan bi 	关闭	c=2 d=1 t=15380
guan cai 	管材	c=2 d=1.5599 t=2619
guan dao 	管道	c=54 d=1.12787 t=21519
guan fang 	官方	c=1 d=1 t=18640
guan jian 	关键	c=2 d=1 t=22355
guan jing 	管井	c=2 d=1 t=15556
guan jing 	管径	c=7 d=1 t=25551
guan li 	管理	c=11 d=2.22609 t=22004
guan lian 	关联	c=1 d=1 t=11628
guan tou 	罐头	c=2 d=1.0602 t=21955
guan xi 	关系	c=4 d=1 t=21486
guan xian 	管线	c=13 d=1 t=27729
guan yu 	关于	c=4 d=1 t=23716
guan zhi 	管制	c=0 d=0.1 t=19084
guan zhu 	关注	c=1 d=1 t=14585
guan zhuang 	灌装	c=1 d=1 t=18495
guan zong 	管综	c=1 d=1 t=11086
guang 	光	c=3 d=1 t=17664
guang 	广	c=4 d=1 t=17656
guang biao 	光标	c=1 d=1 t=21983
guang dong 	广东	c=1 d=1 t=17957
guang gao 	广告	c=1 d=1 t=13259
guang guang 	咣咣	c=1 d=1 t=26665
guang zhou 	广州	c=3 d=1.00097 t=7516
gui 	归	c=6 d=1 t=16240
gui 	柜	c=2 d=1.10383 t=22955
gui 	贵	c=9 d=1 t=21829
gui bin 	贵宾	c=4 d=1 t=13051
gui bin shi 	贵宾室	c=1 d=1 t=13078
gui fan 	规范	c=17 d=1.00001 t=26731
gui ge 	规格	c=10 d=1 t=25302
gui ge shu 	规格书	c=5 d=1 t=25300
gui gu 	硅谷	c=1 d=1 t=26235
gui hua 	规划	c=1 d=1 t=24390
gui ji 	柜机	c=1 d=1 t=5026
gui lv 	规律	c=2 d=1.00127 t=14223
gui nv 	闺女	c=3 d=1.90937 t=14975
gui wu zhe 	鬼武者	c=5 d=4.91106 t=11672
guo 	国	c=4 d=1 t=24656
guo 	过	c=55 d=1.01482 t=28221
guo 	郭	c=13 d=1 t=27547
guo 	锅	c=3 d=1 t=25653
guo a 	过啊	c=1 d=1 t=18857
guo biao 	国标	c=2 d=1.9802 t=24463
guo bu qu 	过不去	c=1 d=1 t=8716
guo chan 	国产	c=5 d=1 t=17456
guo che 	过车	c=1 d=1 t=17154
guo cheng 	过程	c=3 d=1 t=20688
guo du ji 	过渡季	c=1 d=1 t=4362
guo hang 	国行	c=1 d=1 t=16222
guo hui 	国会	c=1 d=1 t=11252
guo jia 	国家	c=12 d=2.91927 t=18196
guo jin min tui 	国进民退	c=1 d=1 t=16981
guo jun 	国军	c=1 d=1 t=18345
guo lai 	过来	c=18 d=1 t=28198
guo lu 	过路	c=3 d=1 t=13864
guo lu 	锅炉	c=1 d=1 t=17795
guo lv 	过滤	c=3 d=1.96561 t=23783
guo mao 	国贸	c=1 d=1 t=4589
guo min 	过敏	c=3 d=1 t=21384
guo nei 	国内	c=6 d=2.11896 t=12600
guo nian 	过年	c=1 d=1 t=16830
guo qi 	国企	c=2 d=1 t=16937
guo qi 	过期	c=2 d=1 t=24166
guo qu 	过去	c=4 d=1.25284 t=17132
guo ran 	果然	c=2 d=1.76721 t=8390
guo wai 	国外	c=3 d=1 t=18094
guo zhai 	国债	c=1 d=1 t=13316
guo zhan 	国展	c=1 d=1 t=11342
ha 	哈	c=13 d=1 t=26879
ha ha 	哈哈	c=6 d=1.01311 t=13355
ha li 	哈利	c=2 d=1.97045 t=19298
ha li bo te 	哈利·波特	c=3 d=1.02858 t=20006
hai 	嗨	c=1 d=1 t=13668
hai 	海	c=4 d=1.00392 t=12977
hai 	还	c=122 d=1.62645 t=28421
hai dao wan 	海盗湾	c=1 d=1 t=13967
hai de 	还得	c=39 d=1.04865 t=28196
hai dian 	海淀	c=2 d=1.90484 t=14213
hai hao 	还好	c=2 d=1.99501 t=2832
hai mian 	海绵	c=1 d=1 t=8168
hai neng 	还能	c=2 d=1 t=17468
hai ping 	海平	c=1 d=1 t=5265
hai shi 	还是	c=76 d=1.10321 t=28298
hai wai 	海外	c=1 d=1 t=23404
hai xian 	海鲜	c=1 d=1 t=11822
hai xing 	还行	c=5 d=1 t=27555
hai xiu 	害羞	c=1 d=1 t=22781
hai xu yao 	还需要	c=1 d=1 t=26422
hai yao 	还要	c=2 d=1 t=23320
hai you 	还有	c=48 d=1.00053 t=28237
hai zai 	还在	c=5 d=1 t=23179
hai zi 	孩子	c=9 d=1.94649 t=25075
han 	含	c=1 d=1 t=10962
han 	焊	c=1 d=1 t=1311
han 	韩	c=1 d=1 t=2704
han leng 	寒冷	c=1 d=1 t=20750
han shu 	函数	c=13 d=1 t=27071
han tang 	汉唐	c=1 d=1 t=27101
han zi 	汉字	c=1 d=1 t=26956
hang 	行	c=1 d=1 t=21987
hang ban 	航班	c=1 d=1 t=22111
hang shu 	行数	c=1 d=1 t=27134
hang ye 	行业	c=2 d=1.00199 t=18158
hang zhou 	杭州	c=1 d=1 t=14074
hao 	号	c=9 d=1 t=26787
hao 	好	c=207 d=1.52229 t=28357
hao ba 	好吧	c=1 d=1 t=20379
hao ban fa 	好办法	c=1 d=1 t=26276
hao bu 	好不	c=1 d=1 t=12619
hao che 	豪车	c=1 d=1 t=13398
hao cheng 	号称	c=1 d=1 t=25028
hao chi 	好吃	c=1 d=1 t=13693
hao chu 	好处	c=2 d=1 t=23336
hao da 	好哒	c=6 d=1.00576 t=28435
hao de 	好的	c=51 d=1.09714 t=28400
hao di 	好滴	c=2 d=1.01641 t=12160
hao dian 	好点	c=1 d=1 t=17274
hao duo 	好多	c=3 d=1 t=20694
hao duo ci 	好多次	c=1 d=1 t=28234
hao hao 	好好	c=3 d=1.00002 t=26170
hao kan 	好看	c=1 d=1 t=27846
hao lei 	好嘞	c=2 d=1 t=10148
hao ma 	号码	c=1 d=1 t=23609
hao qi 	好奇	c=1 d=1 t=17476
hao wan 	好玩	c=2 d=1 t=16363
hao xiang 	好像	c=10 d=1.00048 t=27448
hao yong 	好用	c=1 d=1 t=14377
hao you 	好友	c=1 d=1 t=21910
hao zai 	好在	c=1 d=1 t=14934
he 	何	c=4 d=2.76103 t=28432
he 	合	c=4 d=1 t=28124
he 	和	c=174 d=1.53488 t=27889
he 	喝	c=6 d=1.00001 t=26448
he 	核	c=2 d=1.64726 t=9603
he bing 	合并	c=16 d=1.00006 t=26743
he dong 	河东	c=1 d=1 t=8478
he dui 	核对	c=9 d=1 t=27837
he ge 	合格	c=1 d=1 t=7685
he jiu 	喝酒	c=2 d=1.89137 t=22554
he li 	合理	c=4 d=1.8311 t=16493
he li xing 	合理性	c=1 d=1 t=16012
he nian 	何年	c=1 d=1 t=13308
he shi 	合适	c=4 d=1 t=23188
he shi 	核实	c=22 d=1 t=27170
he tong 	合同	c=9 d=1.27253 t=28396
he xi 	河西	c=1 d=1 t=8480
he xin 	核心	c=2 d=1 t=10890
he yue 	合约	c=6 d=1 t=28388
he zai 	荷载	c=3 d=2.65524 t=25745
he zhong 	何种	c=1 d=1 t=3038
he zi 	合资	c=3 d=1.02058 t=13578
he zi 	盒子	c=1 d=1 t=8039
hei 	黑	c=4 d=1 t=15158
hei bao 	黑豹	c=1 d=1 t=13960
hei dou 	黑豆	c=1 d=1 t=21993
hei ping 	黑屏	c=1 d=1 t=6474
hei ti 	黑体	c=1 d=1 t=6606
hen 	很	c=19 d=1.0946 t=24668
hen 	狠	c=2 d=1 t=21099
hen can 	很惨	c=1 d=1 t=8486
hen chang 	很长	c=2 d=1 t=17420
hen da 	很大	c=3 d=1.00073 t=9830
hen di 	很低	c=1 d=1 t=2239
hen duo 	很多	c=3 d=1 t=28127
hen kuai 	很快	c=1 d=1 t=26480
hen xiao 	很小	c=1 d=1 t=26466
hen yuan 	很远	c=1 d=1 t=12594
hen zao 	很早	c=1 d=1 t=11260
heng 	横	c=1 d=1 t=23649
heng liu 	恒流	c=1 d=1 t=6072
heng xing 	恒星	c=1 d=1 t=13978
hong 	泓	c=1 d=1 t=15210
hong 	红	c=1 d=1 t=5407
hong se 	红色	c=2 d=1 t=22201
hong shu 	红书	c=2 d=1 t=27912
hou 	厚	c=1 d=1 t=14452
hou 	后	c=23 d=1.00848 t=27430
hou bei xiang 	后备箱	c=1 d=1 t=10675
hou du 	厚度	c=1 d=1 t=20373
hou fang 	后方	c=1 d=1 t=1442
hou ji 	候机	c=1 d=1 t=2347
hou lai 	后来	c=5 d=1 t=23991
hou mian 	后面	c=16 d=2.1349 t=27459
hou qi 	后期	c=2 d=1 t=28174
hou qin 	后勤	c=7 d=1 t=25323
hou tai 	后台	c=1 d=1 t=23545
hou tian 	后天	c=2 d=1 t=11659
hou xu 	后续	c=3 d=1 t=19036
hu 	乎	c=1 d=1 t=13433
hu 	护	c=1 d=1 t=22716
hu 	湖	c=2 d=1.37344 t=26491
hu 	胡	c=2 d=1.99501 t=5625
hu 	虎	c=2 d=1.94649 t=15225
hu cheng he 	护城河	c=1 d=1 t=12545
hu du zhi 	弧度制	c=1 d=1 t=23543
hu kou 	户口	c=1 d=1 t=20182
hu lian wang 	互联网	c=1 d=1 t=23557
hu nong 	糊弄	c=1 d=1 t=17607
hu pu 	虎扑	c=1 d=1 t=15941
hu suo 	互锁	c=1 d=1 t=22881
hua 	化	c=8 d=1 t=27737
hua 	华	c=3 d=1 t=26012
hua 	画	c=8 d=1.00003 t=22362
hua 	花	c=2 d=1 t=21798
hua 	话	c=11 d=1.21331 t=20473
hua ban 	花瓣	c=2 d=1 t=27327
hua fei 	花费	c=1 d=1 t=9294
hua fen 	划分	c=1 d=1 t=4766
hua fen chi 	化粪池	c=4 d=1 t=19960
hua qian 	花钱	c=1 d=1 t=14335
hua run 	华润	c=4 d=1 t=23622
hua sa 	花洒	c=1 d=1 t=19461
hua tu 	画图	c=1 d=1 t=145
hua wei 	华为	c=1 d=1 t=12575
hua wen 	华文	c=1 d=1 t=6598
hua xia 	华夏	c=41 d=1 t=28215
hua xue 	化学	c=1 d=1 t=8308
hua yu 	华语	c=1 d=1 t=13958
hua yuan 	花园	c=16 d=1 t=27446
hua zhuang 	化妆	c=3 d=2.18561 t=13107
huai 	坏	c=2 d=1 t=26464
huan 	换	c=11 d=1 t=26952
huan 	欢	c=2 d=1.07654 t=12804
huan dai 	还贷	c=1 d=1 t=8495
huan hang 	换行	c=2 d=1.98511 t=27072
huan jue 	幻觉	c=1 d=1 t=24877
huan lu 	环路	c=1 d=1 t=9984
huan man 	缓慢	c=1 d=1 t=25465
huan qi 	换气	c=1 d=1 t=25238
huan re 	换热	c=1 d=1 t=2816
huan re qi 	换热器	c=2 d=1 t=17800
huang 	黄	c=4 d=1 t=15658
huang huang 	黄黄	c=1 d=1 t=2779
huang mei tian 	黄梅天	c=2 d=1.98511 t=17954
huang ran 	恍然	c=2 d=1.99501 t=18329
huang ran da wu 	恍然大悟	c=1 d=1 t=18330
hui 	会	c=121 d=1.85874 t=28313
hui 	回	c=16 d=1.00013 t=23912
hui 	荟	c=1 d=0.100008 t=26246
hui 	辉	c=2 d=1 t=11813
hui bao 	汇报	c=16 d=1.03563 t=25584
hui biao 	会表	c=5 d=1 t=22246
hui chang 	会场	c=1 d=1 t=15357
hui da 	回答	c=3 d=1.00023 t=18415
hui feng 	回风	c=17 d=1.00004 t=21010
hui feng jing 	回风井	c=1 d=1 t=15854
hui fu 	回复	c=48 d=1.81101 t=27122
hui fu 	恢复	c=1 d=1 t=809
hui jia 	回家	c=12 d=3.90651 t=28048
hui lai 	回来	c=13 d=1.00001 t=22378
hui lu 	回路	c=1 d=1 t=16176
hui qu 	回去	c=9 d=1.1764 t=26935
hui shang 	会上	c=3 d=1.00037 t=11047
hui shen 	会审	c=1 d=1 t=12350
hui shi 	回事	c=5 d=1 t=28190
hui shou 	回收	c=5 d=1.93707 t=24679
hui shui 	回水	c=2 d=1.21331 t=1324
hui shui guan 	回水管	c=0 d=0.1 t=2484
hui tian 	回填	c=1 d=1 t=807
hui tou 	回头	c=6 d=1 t=26443
hui yi 	会议	c=130 d=2.09765 t=27992
hui yi 	回忆	c=6 d=1 t=27868
hui yi shi 	会议室	c=12 d=1.00086 t=20532
hui yi zhong xin 	会议中心	c=1 d=1 t=274
hui yuan 	会员	c=4 d=2.06934 t=7098
hui zhan 	会展	c=1 d=1 t=2711
hui zong 	汇总	c=2 d=1.86936 t=10482
hun 	婚	c=2 d=1 t=14949
hun 	混	c=2 d=1.956 t=11810
hun chi 	混吃	c=1 d=1 t=14942
hun shen 	浑身	c=1 d=1 t=18054
hun xiao 	混淆	c=1 d=1 t=1143
huo 	或	c=2 d=1 t=16382
huo 	活	c=2 d=1 t=16959
huo 	火	c=2 d=1 t=24089
huo che 	火车	c=1 d=1 t=10762
huo de 	获得	c=3 d=2.72586 t=344
huo dong 	活动	c=5 d=1 t=24804
huo li 	获利	c=1 d=1 t=1432
huo qu 	获取	c=2 d=1 t=14803
huo xing 	火星	c=14 d=1 t=27865
huo xing tan 	活性炭	c=1 d=1 t=19525
huo yue 	活跃	c=2 d=1.15183 t=8675
huo zai 	火灾	c=1 d=1 t=14670
huo zhe 	或者	c=22 d=1 t=27214
ji 	几	c=1 d=1 t=24358
ji 	及	c=10 d=3.40185 t=25783
ji 	机	c=22 d=1.00001 t=27730
ji 	级	c=3 d=1.00058 t=1953
ji 	计	c=1 d=1 t=10362
ji 	集	c=0 d=0.1 t=17792
ji ben 	基本	c=4 d=1.12246 t=26273
ji bu de 	记不得	c=1 d=1 t=4266
ji bu zhu 	记不住	c=1 d=1 t=3765
ji ceng 	几层	c=1 d=1 t=5653
ji chang 	机场	c=4 d=1 t=10151
ji cheng 	继承	c=1 d=1 t=15394
ji chu 	基础	c=3 d=1.3379 t=25730
ji cuo 	记错	c=2 d=1 t=25066
ji dan 	鸡蛋	c=1 d=1 t=8169
ji de 	记得	c=37 d=1.40434 t=28281
ji di 	基地	c=2 d=1 t=26489
ji dian 	几点	c=2 d=1 t=20035
ji dian 	机电	c=26 d=1.14516 t=28149
ji fang 	几方	c=1 d=1 t=16768
ji fang 	机房	c=53 d=1.30789 t=28376
ji fei 	计费	c=1 d=1 t=25574
ji fen 	积分	c=1 d=1 t=23693
ji fen shui qi 	集分水器	c=1 d=1 t=6747
ji ge 	几个	c=13 d=1 t=27083
ji hui 	几回	c=1 d=1 t=19623
ji huo 	激活	c=2 d=1 t=21860
ji ji gua gua 	叽叽呱呱	c=1 d=1 t=20324
ji lai zhi 	既来之	c=1 d=1 t=11327
ji lie 	激烈	c=4 d=1 t=23563
ji lu 	记录	c=8 d=1 t=26282
ji mei 	集美	c=27 d=1.18835 t=28417
ji nian 	几年	c=5 d=1.02005 t=14994
ji piao 	机票	c=1 d=1 t=22375
ji qi 	机器	c=1 d=1 t=1769
ji qi lai 	记起来	c=1 d=1 t=7647
ji qi mao 	机器猫	c=2 d=1.8311 t=24811
ji qiao 	技巧	c=2 d=1 t=27554
ji re ban 	集热板	c=1 d=1 t=17793
ji shi 	及时	c=4 d=1 t=21974
ji shi bian 	几十遍	c=1 d=1 t=15006
ji shu 	基数	c=1 d=1 t=25476
ji shu 	技术	c=35 d=6.13332 t=25436
ji shui keng 	积水坑	c=1 d=1 t=15641
ji shui keng 	集水坑	c=1 d=1 t=17855
ji suan 	计算	c=29 d=1.00016 t=27853
ji suan ji 	计算机	c=1 d=1 t=8430
ji suan qi 	计算器	c=1 d=1 t=12843
ji tai 	几台	c=1 d=1 t=24921
ji tian 	几天	c=2 d=1 t=22673
ji tiao 	几条	c=1 d=1 t=4682
ji tuan 	集团	c=3 d=1.00001 t=17106
ji wei 	几位	c=1 d=1 t=23310
ji xian 	极限	c=4 d=1.61116 t=27629
ji xie 	机械	c=3 d=1 t=26460
ji xu 	继续	c=5 d=1 t=27715
ji yan 	吉言	c=1 d=1 t=28280
ji yao 	纪要	c=8 d=1 t=19051
ji yin 	基因	c=2 d=1 t=22529
ji yu 	基于	c=1 d=1 t=21148
ji zhe 	记着	c=1 d=1 t=17913
ji zhi 	机制	c=1 d=1 t=17030
ji zhong 	几中	c=1 d=1 t=26096
ji zhong 	几种	c=1 d=1 t=15727
ji zhong 	集中	c=2 d=1.80654 t=14269
ji zu 	机组	c=60 d=2.44775 t=25825
jia 	价	c=3 d=1 t=21129
jia 	佳	c=1 d=1 t=9386
jia 	假	c=14 d=3.36794 t=26441
jia 	加	c=58 d=1.73603 t=26914
jia 	夹	c=1 d=1 t=27365
jia 	家	c=15 d=1 t=27938
jia 	架	c=1 d=1 t=15581
jia 	贾	c=30 d=1.48527 t=26193
jia bi 	夹壁	c=1 d=1 t=27613
jia bi qiang 	夹壁墙	c=1 d=1 t=27370
jia cang 	加仓	c=1 d=1 t=12500
jia ceng 	夹层	c=2 d=1 t=16418
jia ge 	价格	c=4 d=1.00003 t=14243
jia gong 	加工	c=1 d=1 t=9874
jia gou 	架构	c=1 d=1 t=12531
jia jing 	嘉靖	c=1 d=1 t=24249
jia kong 	架空	c=1 d=1 t=22843
jia li 	家里	c=2 d=1 t=26208
jia liu 	甲流	c=2 d=1.08804 t=16105
jia na da 	加拿大	c=2 d=1.97531 t=21771
jia qiang 	加强	c=1 d=1 t=1946
jia re 	加热	c=2 d=1 t=19417
jia ru 	加入	c=1 d=1 t=561
jia shang 	加上	c=4 d=1.00089 t=22508
jia shi 	加湿	c=1 d=1 t=86
jia su 	加速	c=1 d=1 t=17469
jia su qi 	加速器	c=2 d=1.21871 t=12369
jia wei 	价位	c=1 d=1 t=18020
jia ya 	加压	c=1 d=1 t=8016
jia yan 	贾岩	c=3 d=1 t=17690
jia yang 	家养	c=2 d=1.98511 t=21365
jia yong 	家用	c=1 d=1 t=22324
jia zhi 	价值	c=3 d=1.00039 t=13330
jia zhuang 	家装	c=1 d=1 t=15758
jian 	件	c=3 d=1.9802 t=9875
jian 	健	c=1 d=1 t=25491
jian 	减	c=1 d=1 t=9769
jian 	剑	c=1 d=1 t=11507
jian 	建	c=2 d=1 t=8506
jian 	见	c=11 d=1.5656 t=23887
jian 	间	c=11 d=1 t=23658
jian ce 	检测	c=3 d=1.09301 t=8157
jian cha 	检查	c=1 d=1 t=24010
jian chi 	坚持	c=4 d=3.14377 t=16350
jian dan 	简单	c=2 d=1 t=18605
jian gong 	建工	c=2 d=1.00081 t=2369
jian guo 	见过	c=5 d=1 t=24619
jian kang 	健康	c=2 d=1 t=21369
jian kong 	监控	c=3 d=1.02872 t=13925
jian li 	监理	c=1 d=1 t=9055
jian li 	简历	c=1 d=1 t=11765
jian mian 	见面	c=1 d=1 t=14167
jian pan 	键盘	c=4 d=1 t=26281
jian qiao 	剑桥	c=2 d=1.97531 t=5258
jian rong 	兼容	c=2 d=1 t=23100
jian shao 	减少	c=3 d=1.0435 t=26183
jian she 	建设	c=1 d=1 t=22072
jian shen 	健身	c=11 d=1 t=27795
jian shi 	见识	c=1 d=1 t=24630
jian suo dao 	检索到	c=1 d=1 t=25365
jian tie 	剪贴	c=1 d=1 t=6563
jian tou 	箭头	c=1 d=1 t=836
jian xiao 	减小	c=1 d=1 t=11178
jian xiu 	检修	c=1 d=1 t=15868
jian yan yuan 	建研院	c=1 d=1 t=14578
jian yi 	建议	c=12 d=1.00045 t=25974
jian yi 	简易	c=2 d=1 t=23495
jian yuan 	建院	c=21 d=3.99266 t=28078
jian zai 	健在	c=1 d=1 t=14946
jian zhi 	兼职	c=1 d=1 t=11293
jian zhu 	建筑	c=42 d=1.00795 t=27643
jiang 	奖	c=1 d=1 t=11249
jiang 	将	c=5 d=2.11185 t=20928
jiang 	降	c=6 d=3.89732 t=15144
jiang jia 	降价	c=1 d=1 t=14161
jiang wei 	江伟	c=1 d=1 t=20377
jiang wen 	降温	c=2 d=1 t=14155
jiang zao 	降噪	c=2 d=1.01485 t=23304
jiao 	交	c=2 d=1 t=9932
jiao 	叫	c=12 d=1.28365 t=28309
jiao 	焦	c=4 d=2.40586 t=15635
jiao 	脚	c=2 d=1 t=27558
jiao 	较	c=1 d=1 t=20756
jiao da 	较大	c=2 d=1 t=23815
jiao dai 	交代	c=2 d=1 t=28413
jiao di 	交底	c=10 d=1 t=24686
jiao du 	角度	c=1 d=1 t=5935
jiao gao 	较高	c=1 d=1 t=20797
jiao ge 	交个	c=1 d=1 t=14370
jiao gong 	交工	c=1 d=1 t=17938
jiao he 	校核	c=6 d=1.62275 t=25816
jiao li 	角力	c=1 d=1 t=7024
jiao lian 	教练	c=2 d=1.98511 t=26539
jiao liu 	交流	c=2 d=1.71892 t=556
jiao qu 	叫去	c=1 d=1 t=16525
jiao quan 	交圈	c=1 d=1 t=12141
jiao shen me jin 	较什么劲	c=1 d=1 t=23462
jiao shou 	教授	c=1 d=1 t=5848
jiao ting 	叫停	c=1 d=1 t=8652
jiao wang 	交往	c=1 d=1 t=5870
jiao yu 	教育	c=1 d=1 t=22692
jiao zhe 	交着	c=1 d=1 t=27454
jiao zhi 	角质	c=1 d=1 t=16329
jie 	借	c=1 d=1 t=28278
jie 	姐	c=4 d=1.00003 t=11443
jie 	接	c=32 d=1.23874 t=28423
jie 	杰	c=1 d=1 t=15277
jie 	洁	c=3 d=2.64569 t=11135
jie 	街	c=1 d=1 t=27802
jie chang yan 	结肠炎	c=3 d=2.89819 t=24019
jie dai 	接待	c=1 d=1 t=20358
jie dian 	结点	c=2 d=1.00914 t=4745
jie dian 	节点	c=6 d=1.0017 t=24553
jie duan 	阶段	c=5 d=1 t=21412
jie gou 	结构	c=13 d=1.97531 t=25724
jie guan 	接管	c=5 d=2.93872 t=4931
jie guo 	结果	c=5 d=1.78663 t=20925
jie hao 	接号	c=1 d=1 t=18102
jie he 	结合	c=2 d=1 t=10175
jie hun 	结婚	c=1 d=1 t=13402
jie jie 	姐姐	c=1 d=1 t=1527
jie jing 	洁净	c=1 d=1 t=24260
jie jiu 	戒酒	c=1 d=1 t=26091
jie jue 	解决	c=20 d=1.01501 t=26063
jie kai 	解开	c=1 d=1 t=4629
jie kou 	接口	c=26 d=1 t=23137
jie li 	接力	c=1 d=1 t=4263
jie lu 	结露	c=1 d=1 t=28180
jie lun 	结论	c=4 d=1 t=23198
jie mian 	截面	c=1 d=1 t=11183
jie mian 	界面	c=1 d=1 t=16603
jie neng 	节能	c=2 d=1 t=25008
jie pan 	接盘	c=1 d=1 t=14343
jie qian 	节前	c=1 d=1 t=790
jie qu 	街区	c=2 d=1 t=27746
jie ru 	接入	c=2 d=1 t=17837
jie san 	解散	c=2 d=1 t=16970
jie shao 	介绍	c=5 d=2.90369 t=18410
jie shi 	解释	c=9 d=1.00107 t=27686
jie shou 	接受	c=3 d=1.0153 t=12405
jie shou 	接收	c=1 d=1 t=18097
jie shu 	结束	c=2 d=1 t=6851
jie suan 	结算	c=2 d=1.02522 t=27994
jie tu 	截图	c=10 d=1 t=27029
jie wa 	接娃	c=2 d=1 t=26114
jie wei 	结尾	c=1 d=1 t=15395
jie xian 	接线	c=4 d=1.89137 t=24471
jie zhe 	接着	c=1 d=1 t=27944
jie zou 	接走	c=1 d=1 t=21971
jin 	仅	c=4 d=1 t=27831
jin 	禁	c=2 d=1.98511 t=12444
jin 	紧	c=1 d=1 t=1758
jin 	近	c=3 d=1.01579 t=27684
jin 	进	c=9 d=1 t=24535
jin bu 	进步	c=1 d=1 t=20273
jin chang 	金昌	c=1 d=1 t=15208
jin du 	进度	c=6 d=1.89137 t=26043
jin e 	金额	c=1 d=1 t=102
jin ji 	紧急	c=1 d=1 t=23583
jin kou 	进口	c=3 d=2.36815 t=21841
jin kuai 	尽快	c=4 d=1 t=13091
jin lai 	进来	c=4 d=1 t=24306
jin li 	锦鲤	c=1 d=1 t=15383
jin liang 	尽量	c=3 d=1 t=15878
jin nian 	今年	c=5 d=1.02068 t=25980
jin po 	紧迫	c=1 d=1 t=26044
jin qi 	近期	c=1 d=1 t=461
jin qu 	进去	c=5 d=1.02285 t=23037
jin rong 	金融	c=2 d=1 t=27801
jin shu 	金属	c=6 d=1.93239 t=27618
jin tian 	今天	c=54 d=1.04832 t=28302
jin xian 	进线	c=1 d=1 t=52
jin xing 	进行	c=29 d=1.04422 t=27685
jin zhan 	进展	c=5 d=1 t=26979
jin zhu 	金住	c=1 d=1 t=5240
jing 	井	c=7 d=1 t=24178
jing 	敬	c=1 d=1 t=3956
jing 	景	c=1 d=1 t=28264
jing 	静	c=1 d=1 t=12976
jing bo ran 	井柏然	c=1 d=1 t=21813
jing chang 	经常	c=1 d=1 t=17269
jing dian 	静电	c=1 d=1 t=22958
jing fei 	经费	c=1 d=1 t=8402
jing fei 	静菲	c=1 d=1 t=7512
jing gai 	井盖	c=1 d=1 t=3731
jing guan 	景观	c=35 d=3.62325 t=28255
jing guo 	经过	c=6 d=1 t=26025
jing hua 	净化	c=5 d=1.00878 t=25695
jing hua qi 	净化器	c=2 d=1 t=25533
jing jing 	竞竞	c=1 d=1 t=2089
jing li 	精力	c=1 d=1 t=13342
jing li 	经理	c=9 d=1.00001 t=28391
jing mi 	精密	c=2 d=1.76338 t=8105
jing pin 	精品	c=1 d=1 t=17572
jing tai 	静态	c=1 d=1 t=12873
jing xi 	惊喜	c=1 d=1 t=18333
jing ya 	静压	c=1 d=1 t=4832
jing ya xiang 	静压箱	c=1 d=1 t=2949
jing yan 	经验	c=3 d=1.5599 t=16673
jing zheng 	竞争	c=3 d=1 t=23562
jing zhuang 	精装	c=102 d=2.86316 t=28148
jiong 	囧	c=1 d=1 t=23266
jiu 	就	c=174 d=4.00245 t=28265
jiu 	旧	c=2 d=1 t=21034
jiu can 	就餐	c=0 d=0.1 t=3506
jiu can qu 	就餐区	c=1 d=1 t=3507
jiu dian 	酒店	c=96 d=2.00618 t=28177
jiu shi 	就是	c=66 d=1.04987 t=28248
jiu shou 	就手	c=1 d=1 t=21302
jiu xing 	就行	c=10 d=1.9608 t=26603
ju 	剧	c=3 d=2.93635 t=19307
ju 	句	c=1 d=1 t=12362
ju 	据	c=1 d=1 t=16863
ju bei 	具备	c=3 d=1 t=19793
ju bu 	局部	c=4 d=1 t=25049
ju can 	聚餐	c=1 d=1 t=17351
ju da 	巨大	c=1 d=1 t=9223
ju hui 	聚会	c=1 d=1 t=2163
ju jue 	拒绝	c=2 d=1.94649 t=25424
ju li 	距离	c=3 d=1.00937 t=16464
ju shuo 	据说	c=3 d=1.00002 t=25042
ju ti 	具体	c=17 d=1.00003 t=24968
ju tie 	举铁	c=1 d=1 t=12886
ju yu 	局域	c=1 d=1 t=5813
ju zhu 	居住	c=1 d=1 t=8591
juan lian 	卷帘	c=2 d=1.92312 t=27215
jue ce 	决策	c=1 d=1 t=2120
jue de 	觉得	c=14 d=1.0599 t=26529
jue dui 	绝对	c=3 d=1.70692 t=13396
jue se 	角色	c=1 d=1 t=5832
jue wang 	绝望	c=1 d=1 t=852
jue xin 	决心	c=1 d=1 t=26169
jue yu 	绝育	c=5 d=1 t=21354
jun 	军	c=2 d=1.54064 t=5236
jun 	均	c=2 d=1 t=25381
jun gong 	竣工	c=3 d=1.92774 t=17896
jun gong tu 	竣工图	c=2 d=1.89583 t=17912
jun liu 	均流	c=1 d=1 t=24287
ka 	卡	c=8 d=1.00007 t=25486
